"","Dog breed","category","popularity ranking (1-173, 1 = most popular)","intelligence ranking","intelligence category","repetitions to understand new commands","obey first command (% of time)","life expectancy (years)","survey sample size","congenital ailments: summary / areas affected","No.","congenital ailments: detail","cuteness rating (adults)","total lifetime cost, $","average price (US $)","price bracket","lowest (US$)","highest (US$)","food per week, average, £","min, £","max, £","food per week, $","food per lifetime, $","total per lifetime, $","total  per year, $","total, per year, £","toys, presents, treats, per year, £","pet sitters, per year, £","grooming, per year, £","vet fees per year, £","kennels per year, £","one offs, $","grooming required","suitability for children","size category","weight (kg)","weight (lbs)","shoulder height (cm)","shoulder height (in)","note","source","link",""
"26","Black and Tan Coonhound","hound","109.0","44.0","Average","25-40",">50",NA,"-","none","0.0","none","4.0",NA,"325","budget","200.0","500.0",NA,NA,NA,NA,NA,NA,"974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","-","-","large",NA,NA,"63.5","25",NA,NA,NA,NA
"27","Black Russian Terrier","working","128.0",NA,NA,NA,NA,"1.83 - really?","4.0","none","0.0","none","3.0",NA,"2833.333333","high-end","2500.0","3000.0",NA,NA,NA,NA,NA,NA,"974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","-","-","large",NA,NA,"71.12","28","3 dogs for sale only",NA,NA,NA
"28","Bloodhound","hound","48.0","75.0","Lowest","80-100","<25","6.75","82.0","fatal stomach bloat, skin problems","2.0","Gastric dilatation-volvulus, Hip dysplasia","5.0","11217.43252","607.5","budget","200.0","1000.0","8.75","7.5","10.0","10.87769375","3831.103343","6578.82918","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","week","medium","large","38.55535145","85","63.5","25",NA,NA,NA,NA
"29","Bluetick Coonhound","hound","136.0",NA,NA,NA,NA,NA,"-","none","0.0","none","3.0",NA,"370","budget","200.0","500.0",NA,NA,NA,NA,NA,NA,"974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","-","-","large","28.34952313","62.5","60.96","24",NA,NA,NA,NA
"30","Border Collie","herding","45.0","1.0","Brightest","<5",">95","12.52","164.0","eye problems, deafness","2.0","Collie eye anomaly, deafness","3.0","16273.46114","622.5","budget","175.0","1050.0","4","4.0","4.0","4.97266","3248.451309","12202.50983","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","week","low","medium",NA,NA,"50.8","20",NA,NA,NA,NA
"31","Border Terrier","terrier","80.0","30.0","Above average","15-25",">70","14.0","177.0","none","0.0","none","4.0","18310.76591","833.3333333","mid-price","250.0","1200.0","4","4.0","4.0","4.97266","3632.45354","13644.97904","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","week","high","small","6.123496995","13.5",NA,NA,NA,NA,NA,NA
"32","Borzoi","hound","102.0","76.0","Lowest","80-100","<25","9.08","87.0","none","0.0","none","2.0","13111.35782","675","budget","300.0","1250.0","5.75","4.0","7.5","7.14819875","3386.614274","8849.743549","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","day","medium","large","37.42137053","82.5","71.12","28.0","At least 28 in tall (males), 26 (females)",NA,NA,NA
"33","Boston Terrier","non-sporting","22.0","54.0","Average","25-40",">50","10.92","42.0","breathing problems","1.0","brachycephalic syndrome","4.0","14366.39741","690","budget","400.0","1050.0","4","4.0","4.0","4.97266","2833.313761","10643.08365","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","week","high","medium","NA (3 classes)","NA (3 classes)",NA,NA,NA,NA,NA,NA
"34","Bouvier des Flandres","herding","83.0","29.0","Above average","15-25",">70","10.34","1079.0","hip problems","1.0","hip dysplasia","3.0","15469.35461","1335","mid-price","800.0","2500.0","5.75","4.0","7.5","7.14819875","3856.56295","10077.79166","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","week","high","large",NA,NA,"64.77","25.5",NA,NA,NA,NA
"35","Boxer","working","7.0","48.0","Average","25-40",">50","8.81","2112.0","eye, nerve, heart problems","4.0","Corneal dystrophy, Degenerative myelopathy, Dilated cardiomyopathy, Subaortic stenosis","5.0","12772.50137","700","mid-price","300.0","2500.0","5.75","4.0","7.5","7.14819875","3285.910986","8586.590382","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","week","high","medium",NA,NA,"59.055","23.25",NA,NA,NA,NA
