"","Dog breed","category","datadog score","POPULARITY IN US","POPULARITY IN US","LIFETIME COST, $","5 LIFETIME COST","1 INTELLIGENCE (TRAINABILITY) ranking","INTELLIGENCE (TRAINABILITY) ranking","2 LONGEVITY","LONGEVITY","3 NO. OF GENETIC AILMENTS","GENETIC AILMENTS","4a average purchase price, US$","average purchase price, US$","4b food costs per year, US$","food costs per year, US$","5a grooming required","grooming required","5b suitability for children","suitability for children","ULTIMATE TOP DOG MEGA SCORE (with kids)","ULTIMATE TOP DATA DOG MEGA RANKING - without kids","ULTIMATE TOP DATA DOG MEGA RANKING - with kids","ULTIMATE TOP DOG MEGA SCORE","POPULAR RATING","size category","weight (kg)","weight (lbs)","shoulder height (cm)","shoulder height (in)","note","source","link","intelligence category","repetitions to understand new commands","obey first command (% of time)","longevity sample size - survey sample size","GENETIC DISEASES - congenital ailments: summary / areas affected","congenital ailments: summary / areas affected","4 LIFETIME COST, $","4 LIFETIME COST","average purchase price (US $)","price bracket","lowest (US$)","highest (US$)","food per week, average, £","min, £","max, £","food per week, $","food per year, $","food per lifetime, $","Other regular costs, total per lifetime, $","total  per year, $","total, per year, £","toys, presents, treats, per year, £","pet sitters, per year, £","grooming, per year, £","vet fees per year, £","kennels per year, £","one offs, $","","","",""
"21","Bedlington Terrier","terrier","3.07","134.0","83","22107.0","0.17","40.0","0.5402298851","13.51","0.9310344828","2.0","0.7777777778","1058.33333333333","0.2183908046","324.439695","0.6781609195","2.0","0.75","2.0","0.5","3.947318008","21","35","3.072318008","134","small","9.0718474","20",NA,NA,"Price: only 6 puppies for breed",NA,NA,"Average","25-40",">50","54.0","liver, eye problems","Chronic hepatitis, Retinal dysplasia","17931.05577","0.1609195402","1058.333333","mid-price","250.0","1800.0","4","4.0","4.0","4.97266","259.4609672","3505.317666","13167.40477","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0",NA,NA,NA,NA
"22","Poodle","non-sporting","3.04","8.0","8","21237.0","0.31","2.0","0.9885057471","11.95","0.5977011494","2.0","0.7777777778","900.0","0.3793103448","466.3820615625","0.2298850575","2.0","0.75","2.0","0.5","3.918582375","22","39","3.043582375","8","medium",NA,NA,"40.64","16.0","15 in is min height for standard poodle",NA,NA,"Brightest","<5",">95","1178.0","fatal stomach bloat, skin disorder","Gastric dilatation-volvulus (serious stomach disorder), sebaceous adenitis (skin disorder)","17204.01718","0.3103448276","900","mid-price","500.0","1500.0","5.75","4.0","7.5","7.14819875","372.9751403","4457.052926","11646.96425","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0",NA,NA,NA,NA
"23","Bichon Frise","non-sporting","3.03","39.0","34","19735.0","0.54","45.0","0.4482758621","12.21","0.6781609195","0.0","1","692.5","0.6206896552","324.439695","0.6781609195","1.0","0.5","1.0","1","4.275862069","25","16","3.025862069","39","small",NA,NA,"26.67","10.5",NA,NA,NA,"Average","25-40",">50","146.0","none","none","15960.88941","0.5287356322","692.5","budget","250.0","1500.0","4","4.0","4.0","4.97266","259.4609672","3168.018409","11900.37101","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0",NA,NA,NA,NA
"24","German Shorthaired Pointer","sporting","3.03","15.0","15","25842.0","0.03","17.0","0.8390804598","11.46","0.4942528736","1.0","0.8888888889","545.0","0.8275862069","971.0337105","0.04597701149","2.0","0.75","1.0","1.0","4.409003831","23","12","3.034003831","15","large","28.34952313","62.5","60.96","24",NA,NA,NA,"Excellent","5-15",">85","203.0","hip problems","hip dysplasia","18735.82103","0.1034482759","545","budget","200.0","850.0","-","-","-","11.40795","595.2383111","6821.431045","11169.38999","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0",NA,"http://www.vetstreet.com/dogs/german-shorthaired-pointer#grooming","http://www.purina.com.au/sitecore/content/PurinaAustralia/Home/owning-a-dog/dog-breeds/German-Short-Haired-Pointer",NA
"25","Pointer","sporting","3.03","115.0","74","24445.0","0.08","43.0","0.4942528736","12.42","0.7471264368","1.0","0.8888888889","293.75","0.9885057471","709.7118328125","0.05747126437","2.0","0.75","1.0","1","4.403256705","24","13","3.028256705","115","large","26.98874602","59.5","64.77","25.5","English Pointer. price: 8 puppies for sale only",NA,NA,"Average","25-40",">50","145.0","hip problems","hip dysplasia","19648.02584","0.06896551724","293.75","budget","50.0","500.0","8.75","7.5","10.0","10.87769375","567.5708656","7049.230151","12105.04569","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0",NA,NA,NA,NA
"26","Tibetan Spaniel","non-sporting","3.02","114.0","73","25549.0","0.05","46.0","0.4252873563","14.42","0.9885057471","0.0","1","1050.0","0.2413793103","466.3820615625","0.2298850575","2.0","0.75","1.0","1","4.399425287","26","14","3.024425287","114","small","5.44310844","12","25.4","10",NA,NA,NA,"Average","25-40",">50","125.0","none","none","20682.62993","0.02298850575","1050","mid-price","500.0","2000.0","5.75","4.0","7.5","7.14819875","372.9751403","5378.301523","14054.32841","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0",NA,NA,NA,NA
"27","Labrador Retriever","sporting","2.97","1.0","1","21299.0","0.3","7.0","0.9310344828","12.04","0.632183908","3.0","0.6666666667","809.9","0.5057471264","466.3820615625","0.2298850575","2.0","0.75","1.0","1","4.347701149","27","15","2.972701149","1","medium","30.61748498","67.5","58.42","23",NA,NA,NA,"Brightest","<5",">95","1101.0","elbows, hips, eyes","elbow dysplasia, hip dysplasia, retinal dysplasia","17235.20266","0.2988505747","809.9","mid-price","299.0","1500.0","5.75","4.0","7.5","7.14819875","372.9751403","4490.620689","11734.68197","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0",NA,NA,NA,NA
"28","Maltese","toy","2.93","23.0","23","19084.0","0.62","59.0","0.2528735632","12.25","0.6896551724","1.0","0.8888888889","649.5","0.6896551724","269.73158625","1","1.0","0.5","3.0","0.0","3.176245211","29","65","2.926245211","23","small","2.26796185","5","22.86","9.0",NA,NA,NA,"Fair","40-80",">30","42.0","heart problems","Patent ductus arteriosus (PDA)","14814.32036","0.7011494253","649.5","budget","300.0","1000.0","-","-","-","3.168875","165.3439753","2025.463698","11939.35666","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0",NA,"http://www.vetstreet.com/dogs/maltese#grooming","http://www.purina.com.au/sitecore/content/PurinaAustralia/Home/owning-a-dog/dog-breeds/Maltese",NA
"29","Pomeranian","toy","2.93","17.0","17","15792.0","0.93","23.0","0.7701149425","9.67","0.2298850575","1.0","0.8888888889","670.0","0.6551724138","324.439695","0.6781609195","2.0","0.75","2.0","0.5","3.805555556","28","45","2.930555556","17","small","2.26796185","5",NA,NA,NA,NA,NA,"Excellent","5-15",">85","29.0","heart problems","Patent ductus arteriosus (PDA)","12803.7695","0.9310344828","670","budget","200.0","1500.0","4","4.0","4.0","4.97266","259.4609672","2508.987552","9424.781951","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0",NA,NA,NA,NA
"30","Shih Tzu","toy","2.93","11.0","11","21152.0","0.32","70.0","0.1264367816","13.2","0.9195402299","1.0","0.8888888889","582.5","0.8045977011","324.439695","0.6781609195","1.0","0.5","1.0","1","4.176245211","29","19","2.926245211","11","small","5.669904625","12.5","24.765","9.75",NA,NA,NA,"Lowest","80-100","<25","97.0","eye problems","Exposure keratopathy syndrome (exophthalmos, lagophthalmos, and/or macroblepharon)","17072.65072","0.3218390805","582.5","budget","275.0","1200.0","4","4.0","4.0","4.97266","259.4609672","3424.884766","12865.26595","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0",NA,NA,NA,NA
